Source,Reliability,Bias
#MediaBuzz,35.44,9.67
19th News,44.5,-10.31
60 Minutes,34.26,-8.17
@ Night with Shannon Bream,39.06,17.08
ABC News,46.73,-4.5
ABC This Week with George Stephanopoulos,43.53,-7.38
ABC World News Tonight with David Muir,49.67,-2
Abe Lincoln's Top Hat,30.25,-11.75
Advocate Magazine,37.78,-15.03
Agence France-Presse,48.03,-1.95
Air Force Times,46.01,1.32
Al Jazeera,45.6,-4.48
AL.com,46.6,-1.56
Alex Witt Reports,37.22,-13.78
All In with Chris Hayes,28.53,-17.27
AlterNet,24.36,-18.66
Amanpour,42.78,-7.15
America Dissected,34.25,-13.73
America First with Sebastian Gorka Podcast,16.53,25.08
America Right Now,12.12,23.72
American Greatness,19.87,23.03
American Independent,38.49,-14.71
American Independent,38.49,-14.71
American Thinker,13.37,25.11
American Voices with Alicia Menendez,33.44,-16
Anderson Cooper 360,39.22,-13.27
Andrea Mitchell Reports,40.33,-12.08
Aol.com,44.36,-10.54
AP,48.62,-1.82
Apple News Today,44.5,-6.03
Arizona Daily Star,45.91,-2.07
Arkansas Democrat-Gazette,46.29,0.3
Armchair Expert with Dax Shepard,37.42,-9.03
Army Times,47.8,0.31
ARS Technica,46.34,-2.13
Aspen Times,46.32,-0.32
At this Hour with Kate Bolduan,35.44,-11.44
Atlanta Black Star,45.68,-4.95
Atlanta Journal-Constitution,45.84,-3.24
Axios,44.25,-4.3
Axios Re:Cap,42.67,-7.06
AZ Central,42.63,-7.43
Bad Faith,37.11,-22.89
Baltimore Sun,45.99,-5.25
Banfield,37.81,-1.85
Bannon's War Room,10.27,27.97
Barron's,45.98,-0.27
BBC,46.11,-2.42
BBC World News America,44.56,-3.78
Bearing Arms,26.98,19.28
Before It's News,5.19,30.15
Benzinga,42.79,0.07
BET,41.34,-5.83
BGR,40.86,-3.99
Big League Politics,18.3,25.42
Bill O'Reilly,21.72,25.55
Billboard,40.73,-2.23
Bipartisan Report,21.6,-21.58
Bitch Media,33.28,-18.06
