Source,Reliability,Bias
#MEDIABUZZ,35.44,9.67
19TH NEWS,44.5,-10.31
60 MINUTES,34.26,-8.17
@ NIGHT WITH SHANNON BREAM,39.06,17.08
ABC NEWS,46.73,-4.5
ABC THIS WEEK WITH GEORGE STEPHANOPOULOS,43.53,-7.38
ABC WORLD NEWS TONIGHT WITH DAVID MUIR,49.67,-2.0
ABE LINCOLN'S TOP HAT,30.25,-11.75
ADVOCATE MAGAZINE,37.78,-15.03
AGENCE FRANCE-PRESSE,48.03,-1.95
AIR FORCE TIMES,46.01,1.32
AL JAZEERA,45.6,-4.48
AL.COM,46.6,-1.56
ALEX WITT REPORTS,37.22,-13.78
ALL IN WITH CHRIS HAYES,28.53,-17.27
ALTERNET,24.36,-18.66
AMANPOUR,42.78,-7.15
AMERICA DISSECTED,34.25,-13.73
AMERICA FIRST WITH SEBASTIAN GORKA PODCAST,16.53,25.08
AMERICA RIGHT NOW,12.12,23.72
AMERICAN GREATNESS,19.87,23.03
AMERICAN INDEPENDENT,38.49,-14.71
AMERICAN INDEPENDENT,38.49,-14.71
AMERICAN THINKER,13.37,25.11
AMERICAN VOICES WITH ALICIA MENENDEZ,33.44,-16.0
ANDERSON COOPER 360,39.22,-13.27
ANDREA MITCHELL REPORTS,40.33,-12.08
AOL.COM,44.36,-10.54
AP,48.62,-1.82
APPLE NEWS TODAY,44.5,-6.03
ARIZONA DAILY STAR,45.91,-2.07
ARKANSAS DEMOCRAT-GAZETTE,46.29,0.3
ARMCHAIR EXPERT WITH DAX SHEPARD,37.42,-9.03
ARMY TIMES,47.8,0.31
ARS TECHNICA,46.34,-2.13
ASPEN TIMES,46.32,-0.32
AT THIS HOUR WITH KATE BOLDUAN,35.44,-11.44
ATLANTA BLACK STAR,45.68,-4.95
ATLANTA JOURNAL-CONSTITUTION,45.84,-3.24
AXIOS,44.25,-4.3
AXIOS RE:CAP,42.67,-7.06
AZ CENTRAL,42.63,-7.43
BAD FAITH,37.11,-22.89
